origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,ticket
TLC,MTY,19.3371,-99.566,25.7785,-100.107,OR2005
MTY,TLC,25.7785,-100.107,19.3371,-99.566,KN1014
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,JZ7756
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,VW1512
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,PM0056
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,CK3450
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,UU5716
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,HK7635
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,FJ2067
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,WY0473
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,DH3771
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,QK5544
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,WS8857
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,NZ9158
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,UF1384
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,FW7853
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,ND6662
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,JZ4425
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,MZ2732
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,XQ8928
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,PR3357
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,ZE8598
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,BG1683
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,QY2472
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,MX0898
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,FI8525
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,BJ9255
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,WR3608
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,AR1506
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,RO8267
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,AW9255
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,ON4210
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,YJ3285
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,JP8097
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,EZ7792
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,JB1309
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,NC3355
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,VR7824
